lag,logtau,logamp,rel_amp,mean,rel_mean
155.1370423386631,5.849506589736481,0.0,1.0,0.0,0.0
157.83691215918896,5.332464656715175,0.0,1.0,0.0,0.0
155.46070730543101,5.5321265055410676,0.0,1.0,0.0,0.0
155.21200429971856,5.744558237055488,0.0,1.0,0.0,0.0
148.11135945604624,5.626144772312446,0.0,1.0,0.0,0.0
155.0132864077518,5.486119723393273,0.0,1.0,0.0,0.0
156.35130704724662,5.779409358744468,0.0,1.0,0.0,0.0
151.88035125290256,5.590038348833071,0.0,1.0,0.0,0.0
157.16261209767652,5.422942345788579,0.0,1.0,0.0,0.0
153.83312378683135,5.850750680758978,0.0,1.0,0.0,0.0
157.54171649195777,5.543968658405186,0.0,1.0,0.0,0.0
155.24767833736982,5.559713904717042,0.0,1.0,0.0,0.0
158.28220242875753,5.478088684804,0.0,1.0,0.0,0.0
156.24014200986338,5.888683517138631,0.0,1.0,0.0,0.0
156.60362287525936,5.732733463419541,0.0,1.0,0.0,0.0
157.75746042409747,5.611137099190344,0.0,1.0,0.0,0.0
154.46584051335813,5.660009929543217,0.0,1.0,0.0,0.0
150.53927582614304,5.853155412748576,0.0,1.0,0.0,0.0
154.08900175883954,5.486803686298405,0.0,1.0,0.0,0.0
156.3835322444144,5.3932087173591565,0.0,1.0,0.0,0.0
148.58539333419995,5.635743960714452,0.0,1.0,0.0,0.0
156.10491205899024,5.508709320760186,0.0,1.0,0.0,0.0
150.18025795199145,5.81165579789981,0.0,1.0,0.0,0.0
152.99295188159724,5.507997006200346,0.0,1.0,0.0,0.0
158.33904931659936,5.642256200888226,0.0,1.0,0.0,0.0
158.0978755608846,5.7524204010021665,0.0,1.0,0.0,0.0
158.1456611584701,5.4877935548537815,0.0,1.0,0.0,0.0
150.66677096650344,5.915333273500351,0.0,1.0,0.0,0.0
154.2015443088645,5.664767802101376,0.0,1.0,0.0,0.0
153.37596550133276,5.724680181387484,0.0,1.0,0.0,0.0
158.12751200133664,5.425163253431964,0.0,1.0,0.0,0.0
152.9300891329657,5.682922780125645,0.0,1.0,0.0,0.0
155.00479388908548,5.583447850688956,0.0,1.0,0.0,0.0
151.49551844367204,5.803276317684709,0.0,1.0,0.0,0.0
153.45092613172625,5.508696626908186,0.0,1.0,0.0,0.0
156.85517738370834,5.435377717857488,0.0,1.0,0.0,0.0
155.25687065752527,6.069616137804034,0.0,1.0,0.0,0.0
155.3729885747566,5.606462953284726,0.0,1.0,0.0,0.0
128.59374256362517,5.43284072578559,0.0,1.0,0.0,0.0
150.6015434615259,5.49724571900358,0.0,1.0,0.0,0.0
157.02364663021868,5.6970525906930325,0.0,1.0,0.0,0.0
149.58688892721509,5.500453277155316,0.0,1.0,0.0,0.0
151.89094997170633,5.391047668536968,0.0,1.0,0.0,0.0
156.13186321195957,5.6995249987251295,0.0,1.0,0.0,0.0
157.29566134912338,5.517369155133721,0.0,1.0,0.0,0.0
157.86660072939907,5.336270833219742,0.0,1.0,0.0,0.0
153.23394597488758,5.587961067955177,0.0,1.0,0.0,0.0
156.3756243349706,5.601183763900936,0.0,1.0,0.0,0.0
150.56844558939682,5.701739117531444,0.0,1.0,0.0,0.0
153.29915283990962,5.604540774901954,0.0,1.0,0.0,0.0
157.6684934320136,5.673336597935839,0.0,1.0,0.0,0.0
158.14159416318253,5.742333573023472,0.0,1.0,0.0,0.0
158.1874489656185,5.59798544875301,0.0,1.0,0.0,0.0
158.0821551453173,5.319213998268088,0.0,1.0,0.0,0.0
148.0722356581426,5.84905344000576,0.0,1.0,0.0,0.0
156.44552161727293,5.645879990282266,0.0,1.0,0.0,0.0
156.31784587527844,5.517109676154263,0.0,1.0,0.0,0.0
158.00986014955967,5.439942006247501,0.0,1.0,0.0,0.0
136.70749120356646,5.395731709487896,0.0,1.0,0.0,0.0
150.69823079375286,5.511408581051485,0.0,1.0,0.0,0.0
156.34683747239922,5.680936988285604,0.0,1.0,0.0,0.0
155.07002868286978,5.436745357692681,0.0,1.0,0.0,0.0
148.9118796745269,5.367189206411503,0.0,1.0,0.0,0.0
153.16971073705506,5.704066320665657,0.0,1.0,0.0,0.0
152.2101932171167,5.499220612668523,0.0,1.0,0.0,0.0
154.3033876771042,5.748202252944927,0.0,1.0,0.0,0.0
156.35016875356578,5.534605951680947,0.0,1.0,0.0,0.0
155.80424216316655,5.891783248225879,0.0,1.0,0.0,0.0
157.60414479777427,5.663322577833943,0.0,1.0,0.0,0.0
158.59220056671361,5.972220235385535,0.0,1.0,0.0,0.0
147.9772627745819,5.76906401814761,0.0,1.0,0.0,0.0
153.1484371910508,5.528982067386972,0.0,1.0,0.0,0.0
157.10276669405363,5.637107993817937,0.0,1.0,0.0,0.0
154.6744452267663,5.856673093526702,0.0,1.0,0.0,0.0
156.7943323696224,5.164773723443808,0.0,1.0,0.0,0.0
152.05716521984607,5.572942046922023,0.0,1.0,0.0,0.0
